AGEP,SCHL,SEX,ESP,CIT,MIG,MIL,ANC,DEAR,DEYE,DREM,PINCP,ESR,FER,label
3.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,False
16.0,13.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
12.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
71.0,16.0,2.0,0.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,6.0,0.0,False
36.0,16.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,30000.0,3.0,2.0,False
16.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,False
42.0,18.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,36000.0,1.0,2.0,False
60.0,21.0,2.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,210000.0,1.0,0.0,False
34.0,16.0,1.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,50000.0,1.0,0.0,True
34.0,22.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,108000.0,4.0,0.0,False
73.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,11200.0,6.0,0.0,False
58.0,21.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,100000.0,1.0,0.0,False
25.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,14400.0,1.0,2.0,False
14.0,11.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
33.0,8.0,1.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,32000.0,1.0,0.0,False
72.0,22.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,36200.0,6.0,0.0,False
48.0,1.0,1.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,12900.0,6.0,0.0,False
57.0,21.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,200000.0,1.0,0.0,True
