SEQID,AGEG5LFS,GENDER_R,U01b000A,U01B_Collapsed_AS_Cleaned,U01b000S,U01b000T,PVLIT1,PVNUM1,ActionSeqOrder
2,30-34,Male,2,MAIL_VIEWED,0,53035,201.21161,173.53285,0
2,30-34,Male,2,NEXT_INQUIRY,0,53035,201.21161,173.53285,1
3,55-59,Female,14,GET_HELP,0,294839,281.99606,278.86503,0
3,55-59,Female,14,TOOLBAR,0,294839,281.99606,278.86503,1
3,55-59,Female,14,MAIL_VIEWED,0,294839,281.99606,278.86503,2
3,55-59,Female,14,FOLDER_VIEWED,0,294839,281.99606,278.86503,3
3,55-59,Female,14,TOOLBAR,0,294839,281.99606,278.86503,4
3,55-59,Female,14,MC_HELP_TOOLBAR,0,294839,281.99606,278.86503,5
3,55-59,Female,14,MAIL_DRAG,0,294839,281.99606,278.86503,6
3,55-59,Female,14,FOLDER_VIEWED,0,294839,281.99606,278.86503,7
3,55-59,Female,14,MAIL_DROP,0,294839,281.99606,278.86503,8
3,55-59,Female,14,MAIL_MOVED,0,294839,281.99606,278.86503,9
3,55-59,Female,14,TOOLBAR_ENVIRONMENT,0,294839,281.99606,278.86503,10
3,55-59,Female,14,GET_HELP,0,294839,281.99606,278.86503,11
3,55-59,Female,14,NEXT_INQUIRY,0,294839,281.99606,278.86503,12
4,40-44,Male,42,MENU,1,144861,327.51296,310.4967,0
4,40-44,Male,42,MENUITEM,1,144861,327.51296,310.4967,1
4,40-44,Male,42,TEXTBOX_ONFOCUS,1,144861,327.51296,310.4967,2
4,40-44,Male,42,TEXTBOX_USE,1,144861,327.51296,310.4967,3
4,40-44,Male,42,TEXTBOX_KILLFOCUS,1,144861,327.51296,310.4967,4
4,40-44,Male,42,BUTTON,1,144861,327.51296,310.4967,5
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,6
4,40-44,Male,42,NEW_FOLDER,1,144861,327.51296,310.4967,7
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,8
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,9
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,10
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,11
4,40-44,Male,42,MAIL_DRAG,1,144861,327.51296,310.4967,12
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,13
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,14
4,40-44,Male,42,MAIL_DROP,1,144861,327.51296,310.4967,15
4,40-44,Male,42,MAIL_MOVED,1,144861,327.51296,310.4967,16
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,17
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,18
4,40-44,Male,42,MAIL_DRAG,1,144861,327.51296,310.4967,19
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,20
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,21
4,40-44,Male,42,MAIL_DROP,1,144861,327.51296,310.4967,22
4,40-44,Male,42,MAIL_MOVED,1,144861,327.51296,310.4967,23
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,24
4,40-44,Male,42,MAIL_DRAG,1,144861,327.51296,310.4967,25
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,26
4,40-44,Male,42,MAIL_DROP,1,144861,327.51296,310.4967,27
4,40-44,Male,42,MAIL_MOVED,1,144861,327.51296,310.4967,28
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,29
4,40-44,Male,42,MAIL_DRAG,1,144861,327.51296,310.4967,30
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,31
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,32
4,40-44,Male,42,MAIL_DROP,1,144861,327.51296,310.4967,33
4,40-44,Male,42,MAIL_MOVED,1,144861,327.51296,310.4967,34
4,40-44,Male,42,MAIL_VIEWED,1,144861,327.51296,310.4967,35
4,40-44,Male,42,MAIL_DRAG,1,144861,327.51296,310.4967,36
4,40-44,Male,42,FOLDER_VIEWED,1,144861,327.51296,310.4967,37
4,40-44,Male,42,MAIL_DROP,1,144861,327.51296,310.4967,38
4,40-44,Male,42,MAIL_MOVED,1,144861,327.51296,310.4967,39
4,40-44,Male,42,NEXT_INQUIRY,1,144861,327.51296,310.4967,40
6,40-44,Male,5,MAIL_VIEWED,0,155518,246.67828,199.99601,0
6,40-44,Male,5,FOLDER_VIEWED,0,155518,246.67828,199.99601,1
6,40-44,Male,5,MAIL_VIEWED,0,155518,246.67828,199.99601,2
6,40-44,Male,5,NEXT_INQUIRY,0,155518,246.67828,199.99601,3
7,50-54,Male,15,MAIL_VIEWED,0,121149,279.72735,255.48236,0
7,50-54,Male,15,TOOLBAR,0,121149,279.72735,255.48236,1
7,50-54,Male,15,MENU,0,121149,279.72735,255.48236,2
7,50-54,Male,15,TEXTBOX_ONFOCUS,0,121149,279.72735,255.48236,3
7,50-54,Male,15,TEXTBOX_KILLFOCUS,0,121149,279.72735,255.48236,4
7,50-54,Male,15,MENU,0,121149,279.72735,255.48236,5
7,50-54,Male,15,TEXTBOX_ONFOCUS,0,121149,279.72735,255.48236,6
7,50-54,Male,15,TEXTBOX_KILLFOCUS,0,121149,279.72735,255.48236,7
7,50-54,Male,15,TEXTBOX_ONFOCUS,0,121149,279.72735,255.48236,8
7,50-54,Male,15,TEXTBOX_KILLFOCUS,0,121149,279.72735,255.48236,9
