SEQID,AGEG5LFS,GENDER_R,U01b000A,AS_Numeric_Encoding,U01b000S,U01b000T,PVLIT1,PVNUM1
2,30-34,Male,2,"2,9",0,53035,201.21161,173.53285
3,55-59,Female,14,"20,12,2,1,12,19,4,1,5,3,18,20,9",0,294839,281.99606,278.86503
4,40-44,Male,42,"6,10,7,11,8,14,1,13,1,2,1,2,4,2,1,5,3,1,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,144861,327.51296,310.4967
6,40-44,Male,5,"2,1,2,9",0,155518,246.67828,199.99601
7,50-54,Male,15,"2,12,6,7,8,6,7,8,7,8,18,7,8,9,7,8",0,121149,279.72735,255.48236
8,50-54,Male,48,"1,6,10,7,11,8,14,1,13,1,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,166891,355.7788,361.84229
9,45-49,Female,32,"1,15,1,12,6,10,7,8,6,7,8,6,7,8,6,7,8,7,8,6,7,8,10,7,8,7,11,8,1,13,9",0,159229,248.2532,208.04316
10,35-39,Male,33,"1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",0,212681,308.71697,268.19213
12,60-65,Male,56,"1,6,10,7,11,8,14,1,13,1,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,2,9",1,293959,295.12664,278.29156
14,25-29,Female,7,"12,7,11,8,14,9",0,78052,192.70901,153.59543
16,25-29,Male,36,"2,6,10,7,11,8,14,1,13,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",1,190663,247.37499,215.97345
18,16-19,Male,0,9,0,4235,266.55254,240.94475
19,40-44,Male,45,"2,6,10,7,11,8,14,1,13,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,2,4,1,5,3,1,2,4,1,5,3,1,2,9",1,149218,327.91965,314.05953
24,55-59,Female,43,"1,6,1,2,6,15,16,6,10,7,11,8,1,13,2,6,10,1,3,2,6,10,1,3,2,6,10,1,3,2,6,10,1,3,2,9",1,224763,280.53942,278.36305
25,50-54,Male,5,"1,9",0,129907,293.71931,313.18821
26,50-54,Male,36,"1,15,1,6,10,7,11,8,14,1,13,16,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,198517,304.85888,322.07024
28,25-29,Female,62,"2,1,6,10,1,14,6,10,1,7,11,8,13,2,4,1,5,3,2,6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,1,2,1,2,4,1,5,3,1,2,1,2,9",1,124312,360.60548,323.03921
