age,fnlwgt,education,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,income
28,122540,10th,6,Divorced,Not-in-family,White,Male,0,0,40,0
28,135567,Bachelors,13,Never-married,Not-in-family,Black,Female,4101,0,60,0
43,194726,Prof-school,15,Married-civ-spouse,Husband,White,Male,15024,0,55,1
28,297735,Prof-school,15,Never-married,Not-in-family,White,Male,0,0,90,0
20,89991,Some-college,10,Never-married,Other-relative,White,Female,0,0,35,0
32,459007,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,90,0
55,314164,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,40,1
30,33945,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
49,32184,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,36,0
27,298635,Masters,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
51,183611,Assoc-acdm,12,Divorced,Unmarried,White,Male,0,0,55,0
36,176458,HS-grad,9,Divorced,Unmarried,White,Female,0,0,28,0
34,111415,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,70,0
18,231335,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
23,386705,Some-college,10,Never-married,Own-child,White,Male,0,0,24,0
43,336763,Some-college,10,Divorced,Unmarried,White,Female,0,880,42,0
36,224566,Bachelors,13,Never-married,Not-in-family,White,Male,99999,0,45,1
58,271795,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
38,348739,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,60,0
28,196690,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,40,0
28,156300,Masters,14,Never-married,Not-in-family,Black,Female,0,0,45,0
44,171589,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,7688,0,40,1
22,62507,Bachelors,13,Never-married,Own-child,White,Female,0,0,40,0
51,321865,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,99,0
28,31778,Bachelors,13,Never-married,Own-child,White,Male,0,0,40,0
35,172327,Bachelors,13,Separated,Not-in-family,White,Male,0,0,42,0
62,664366,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,60,1
18,137532,Some-college,10,Never-married,Own-child,White,Female,0,0,20,0
